data,semana_epidemiologica,casos_dengue,ano,chuva,temperatura_media,umidade,pressao
2022-01-02,202201,977,2022,56.8,20.7,85.39,883.92
2022-01-09,202202,1008,2022,40.0,20.5,81.79,886.73
2022-01-16,202203,1149,2022,7.0,22.91,63.71,887.63
2022-01-23,202204,1383,2022,3.2,22.08,70.93,885.22
2022-01-30,202205,1524,2022,63.4,21.56,78.02,886.34
2022-02-06,202206,1787,2022,34.4,20.85,80.29,885.03
2022-02-13,202207,1721,2022,98.8,20.55,83.48,885.44
2022-02-20,202208,1869,2022,40.0,21.59,77.12,887.35
2022-02-27,202209,2264,2022,54.0,21.97,70.16,886.59
2022-03-06,202210,2708,2022,27.8,22.1,70.05,886.05
2022-03-13,202211,3060,2022,39.8,21.73,78.58,886.52
2022-03-20,202212,3726,2022,0.0,22.32,68.02,886.48
2022-03-27,202213,4199,2022,0.0,23.29,60.77,886.7
2022-04-03,202214,4321,2022,1.0,23.05,60.87,887.06
2022-04-10,202215,4254,2022,21.0,22.25,74.36,885.3
2022-04-17,202216,5023,2022,1.4,21.64,63.02,886.94
2022-04-24,202217,4578,2022,0.0,22.26,61.93,888.3
2022-05-01,202218,3859,2022,14.6,21.75,66.08,888.13
2022-05-08,202219,3497,2022,0.0,21.18,63.23,888.28
2022-05-15,202220,3489,2022,0.0,16.73,62.1,888.2
2022-05-22,202221,2557,2022,0.0,18.69,59.77,890.57
2022-05-29,202222,2325,2022,0.0,19.95,51.75,887.65
2022-06-05,202223,1950,2022,0.0,19.63,59.17,887.99
2022-06-12,202224,1596,2022,0.0,19.7,61.48,888.88
2022-06-19,202225,1455,2022,0.0,19.73,54.81,889.63
2022-06-26,202226,1162,2022,0.0,18.69,54.99,889.39
2022-07-03,202227,810,2022,0.0,18.87,55.74,891.14
2022-07-10,202228,689,2022,0.0,19.47,51.36,889.29
2022-07-17,202229,581,2022,0.0,19.28,52.61,889.9
2022-07-24,202230,576,2022,0.0,19.68,48.04,889.05
2022-07-31,202231,515,2022,0.0,21.62,41.27,888.01
2022-08-07,202232,564,2022,0.0,20.88,45.15,888.77
2022-08-14,202233,619,2022,0.0,21.65,43.12,888.84
2022-08-21,202234,571,2022,0.0,20.27,44.02,890.3
2022-08-28,202235,625,2022,0.0,20.9,41.61,889.37
2022-09-04,202236,639,2022,0.0,22.66,37.05,889.54
2022-09-11,202237,671,2022,1.4,25.04,34.2,886.75
2022-09-18,202238,627,2022,39.0,21.76,71.24,886.13
2022-09-25,202239,701,2022,0.0,23.46,58.71,887.46
2022-10-02,202240,613,2022,0.0,22.98,59.73,886.43
2022-10-09,202241,649,2022,0.2,24.83,39.19,887.96
2022-10-16,202242,698,2022,0.0,24.84,39.51,886.15
2022-10-23,202243,592,2022,21.2,22.24,67.13,885.92
2022-10-30,202244,510,2022,70.4,20.09,78.4,885.9
2022-11-06,202245,559,2022,100.0,21.12,72.12,886.63
2022-11-13,202246,688,2022,169.0,21.45,75.45,885.91
2022-11-20,202247,775,2022,84.6,20.51,79.01,884.78
2022-11-27,202248,889,2022,31.6,20.81,78.36,882.23
2022-12-04,202249,1050,2022,121.6,21.13,79.94,885.42
2022-12-11,202250,1003,2022,48.4,21.07,79.92,883.99
2022-12-18,202251,889,2022,54.2,20.6,81.92,884.18
2022-12-25,202252,802,2022,85.8,20.51,83.07,886.35
2023-01-01,202301,1013,2023,34.4,21.16,79.34,886.14
2023-01-08,202302,1001,2023,74.4,20.33,81.71,887.1
2023-01-15,202303,1183,2023,22.8,21.63,73.26,886.9
2023-01-22,202304,1021,2023,41.4,20.88,80.35,885.33
2023-01-29,202305,1260,2023,18.0,21.96,72.86,886.93
2023-02-05,202306,1345,2023,24.6,22.6,70.76,886.76
2023-02-12,202307,1174,2023,6.4,23.79,64.9,885.11
2023-02-19,202308,1211,2023,23.8,21.54,75.61,887.47
2023-02-26,202309,1208,2023,18.8,22.44,70.57,887.94
2023-03-05,202310,1330,2023,44.8,21.77,74.61,886.54
2023-03-12,202311,1298,2023,45.6,20.92,80.88,886.63
2023-03-19,202312,1529,2023,26.0,21.02,74.88,887.83
2023-03-26,202313,1506,2023,0.0,22.81,62.43,887.45
2023-04-02,202314,1303,2023,14.6,20.82,77.5,886.24
2023-04-09,202315,1562,2023,87.4,21.45,80.15,887.04
2023-04-16,202316,1410,2023,31.2,20.97,79.49,885.76
2023-04-23,202317,1281,2023,27.4,20.8,75.58,888.28
2023-04-30,202318,1427,2023,27.2,20.34,71.05,888.19
2023-05-07,202319,1245,2023,1.2,20.53,68.29,888.1
2023-05-14,202320,1256,2023,0.0,19.65,61.54,889.27
2023-05-21,202321,957,2023,0.0,19.11,64.61,889.06
2023-05-28,202322,959,2023,0.0,20.48,65.35,889.3
2023-06-04,202323,874,2023,0.0,19.02,62.34,890.52
2023-06-11,202324,918,2023,2.0,20.75,65.25,889.69
2023-06-18,202325,759,2023,0.2,18.44,62.15,890.52
2023-06-25,202326,614,2023,0.0,18.42,60.18,890.72
2023-07-02,202327,651,2023,0.0,17.88,52.96,889.74
2023-07-09,202328,667,2023,0.0,19.99,54.04,887.96
2023-07-16,202329,560,2023,0.0,20.73,54.8,892.1
2023-07-23,202330,488,2023,0.0,19.95,52.29,891.32
2023-07-30,202331,568,2023,0.0,20.72,46.84,891.27
2023-08-06,202332,489,2023,0.0,22.09,39.92,890.52
2023-08-13,202333,547,2023,0.0,21.14,46.63,888.53
2023-08-20,202334,502,2023,4.6,22.87,50.03,885.96
2023-08-27,202335,548,2023,55.6,22.04,73.15,888.5
2023-09-03,202336,569,2023,0.0,23.63,51.43,889.13
2023-09-10,202337,650,2023,0.0,23.27,46.6,888.31
2023-09-17,202338,551,2023,0.0,25.73,39.8,887.53
2023-09-24,202339,525,2023,7.4,25.36,55.57,885.87
2023-10-01,202340,522,2023,49.2,23.4,69.6,886.01
2023-10-08,202341,398,2023,6.4,24.95,62.25,887.04
2023-10-15,202342,534,2023,14.6,25.54,47.9,887.54
2023-10-22,202343,415,2023,29.2,24.05,66.45,885.02
2023-10-29,202344,486,2023,32.0,23.56,73.43,884.8
2023-11-05,202345,626,2023,6.8,25.0,54.86,886.59
2023-11-12,202346,695,2023,1.2,26.2,50.67,884.83
2023-11-19,202347,1134,2023,64.2,23.14,76.39,886.24
2023-11-26,202348,1413,2023,33.6,23.1,73.57,886.62
2023-12-03,202349,1823,2023,16.6,23.14,68.38,886.59
2023-12-10,202350,2627,2023,0.6,25.11,55.68,885.41
2023-12-17,202351,2988,2023,51.8,22.43,74.71,884.99
2023-12-24,202352,3937,2023,28.4,23.09,76.58,887.1
2023-12-31,202401,9340,2023,256.8,21.15,89.1,884.94
2024-01-07,202402,9782,2024,203.2,21.8,83.71,886.28
2024-01-14,202403,15007,2024,28.8,23.29,74.48,887.75
2024-01-21,202404,21998,2024,134.8,22.26,83.52,884.93
2024-01-28,202405,25623,2024,43.2,22.02,80.81,887.76
2024-02-04,202406,24198,2024,75.6,21.93,82.17,887.52
2024-02-11,202407,23969,2024,74.4,22.11,78.07,888.86
2024-02-18,202408,25714,2024,55.2,21.57,86.35,885.41
2024-02-25,202409,24823,2024,0.8,23.57,69.94,887.63
2024-03-03,202410,21609,2024,25.2,22.69,79.44,887.51
2024-03-10,202411,19376,2024,70.4,23.67,81.05,887.44
2024-03-17,202412,17439,2024,59.6,22.97,82.51,886.14
2024-03-24,202413,11654,2024,78.4,21.83,85.54,887.34
2024-03-31,202414,11954,2024,177.6,22.32,85.43,886.95
2024-04-07,202415,10739,2024,49.2,22.17,82.42,887.18
2024-04-14,202416,8542,2024,0.0,23.07,74.34,887.54
2024-04-21,202417,6230,2024,34.4,22.63,73.53,887.74
2024-04-28,202418,4951,2024,0.0,23.18,65.21,887.38
2024-05-05,202419,4384,2024,0.0,21.35,68.75,888.31
2024-05-12,202420,3822,2024,0.0,21.57,60.97,888.5
2024-05-19,202421,3503,2024,0.0,20.95,67.73,889.5
2024-05-26,202422,2501,2024,0.0,20.17,65.23,890.33
2024-06-02,202423,1730,2024,0.0,19.47,70.02,891.53
2024-06-09,202424,1161,2024,0.0,19.96,64.88,890.69
2024-06-16,202425,805,2024,0.0,19.46,60.57,889.13
2024-06-23,202426,423,2024,0.0,19.64,56.15,888.97
2024-06-30,202427,465,2024,0.0,19.51,55.64,889.6
2024-07-07,202428,409,2024,0.0,20.51,50.8,889.8
2024-07-14,202429,327,2024,0.0,18.85,53.72,892.41
2024-07-21,202430,312,2024,0.0,19.24,50.03,891.72
2024-07-28,202431,305,2024,0.0,20.55,54.21,891.53
2024-08-04,202432,359,2024,0.0,20.04,51.3,889.41
2024-08-11,202433,377,2024,0.0,21.18,42.3,890.13
2024-08-18,202434,340,2024,0.0,22.98,33.12,889.67
2024-08-25,202435,292,2024,0.0,21.67,49.42,891.07
2024-09-01,202436,294,2024,0.0,24.27,26.85,888.81
2024-09-08,202437,304,2024,0.0,23.73,33.82,889.25
2024-09-15,202438,308,2024,0.0,25.28,35.41,887.9
2024-09-22,202439,302,2024,0.0,26.65,30.46,886.54
2024-09-29,202440,298,2024,0.0,26.21,33.46,886.66
2024-10-06,202441,324,2024,15.2,24.88,58.91,886.56
2024-10-13,202442,347,2024,330.0,21.57,80.37,887.6
2024-10-20,202443,411,2024,160.8,22.07,82.13,886.13
2024-10-27,202444,516,2024,32.4,21.66,78.19,886.63
2024-11-03,202445,667,2024,115.6,21.14,84.4,885.55
2024-11-10,202446,634,2024,190.4,20.98,85.41,884.52
2024-11-17,202447,769,2024,152.8,22.0,80.4,885.72
2024-11-24,202448,604,2024,24.8,22.34,78.94,886.49
2024-12-01,202449,742,2024,106.8,22.82,73.22,885.61
2024-12-08,202450,662,2024,43.2,23.08,72.49,885.2
2024-12-15,202451,555,2024,61.2,21.86,80.88,886.73
2024-12-22,202452,457,2024,176.0,21.16,85.34,886.08
